autor_de            	TP:4 FP:2 FN:8	P:0.666667 R:0.333333 F1:0.444444
causador_de         	TP:0 FP:0 FN:22	P:0.000000 R:0.000000 F1:0.000000
data_de             	TP:2 FP:1 FN:10	P:0.666667 R:0.166667 F1:0.266667
data_nascimento     	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
ident               	TP:1 FP:21 FN:328	P:0.045455 R:0.003040 F1:0.005698
inclui              	TP:8 FP:80 FN:48	P:0.090909 R:0.142857 F1:0.111111
incluido            	TP:1 FP:1 FN:104	P:0.500000 R:0.009524 F1:0.018692
localizado_em       	TP:0 FP:0 FN:28	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:0 FP:0 FN:13	P:0.000000 R:0.000000 F1:0.000000
obra_de             	TP:0 FP:0 FN:8	P:0.000000 R:0.000000 F1:0.000000
outrarel            	TP:0 FP:0 FN:20	P:0.000000 R:0.000000 F1:0.000000
participante_em     	TP:0 FP:0 FN:13	P:0.000000 R:0.000000 F1:0.000000
personagem_de       	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:0 FN:7	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:0 FN:4	P:0.000000 R:0.000000 F1:0.000000
praticado_por       	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:0 FP:1 FN:0	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:0 FP:1 FN:1	P:0.000000 R:0.000000 F1:0.000000
relacao_profissional	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
residencia_de       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:1 FP:4 FN:61	P:0.200000 R:0.016129 F1:0.029851
ter_participacao_de 	TP:0 FP:3 FN:3	P:0.000000 R:0.000000 F1:0.000000
vinculo_inst        	TP:1 FP:9 FN:31	P:0.100000 R:0.031250 F1:0.047619
--------------------------------------------------
All                 	TP:18 FP:123 FN:723	P:0.127660 R:0.024291 F1:0.040816
--- 56.33303189277649 seconds ---
