autor_de            	TP:1 FP:2 FN:1	P:0.333333 R:0.500000 F1:0.400000
data_de             	TP:0 FP:4 FN:5	P:0.000000 R:0.000000 F1:0.000000
data_morte          	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
datado_de           	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
ident               	TP:8 FP:18 FN:243	P:0.307692 R:0.031873 F1:0.057762
inclui              	TP:2 FP:20 FN:32	P:0.090909 R:0.058824 F1:0.071429
incluido            	TP:1 FP:19 FN:59	P:0.050000 R:0.016667 F1:0.025000
localizado_em       	TP:0 FP:1 FN:14	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:0 FP:0 FN:5	P:0.000000 R:0.000000 F1:0.000000
obra_de             	TP:0 FP:0 FN:5	P:0.000000 R:0.000000 F1:0.000000
outrarel            	TP:0 FP:0 FN:6	P:0.000000 R:0.000000 F1:0.000000
participante_em     	TP:0 FP:0 FN:16	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:1 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:1 FN:0	P:0.000000 R:0.000000 F1:0.000000
praticado_por       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:0 FN:6	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:0 FN:6	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
propriedade_de      	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:0 FP:0 FN:8	P:0.000000 R:0.000000 F1:0.000000
relacao_profissional	TP:0 FP:1 FN:5	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:1 FP:9 FN:18	P:0.100000 R:0.052632 F1:0.068966
ter_participacao_de 	TP:0 FP:0 FN:11	P:0.000000 R:0.000000 F1:0.000000
vinculo_inst        	TP:0 FP:27 FN:44	P:0.000000 R:0.000000 F1:0.000000
--------------------------------------------------
All                 	TP:13 FP:103 FN:495	P:0.112069 R:0.025591 F1:0.041667
--- 318.7714262008667 seconds ---
