autor_de           	TP:3 FP:2 FN:1	P:0.600000 R:0.750000 F1:0.666667
causador_de        	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
data_de            	TP:0 FP:2 FN:2	P:0.000000 R:0.000000 F1:0.000000
ident              	TP:4 FP:25 FN:38	P:0.137931 R:0.095238 F1:0.112676
inclui             	TP:5 FP:13 FN:14	P:0.277778 R:0.263158 F1:0.270270
incluido           	TP:1 FP:6 FN:12	P:0.142857 R:0.076923 F1:0.100000
localizado_em      	TP:0 FP:3 FN:2	P:0.000000 R:0.000000 F1:0.000000
natural_de         	TP:0 FP:0 FN:16	P:0.000000 R:0.000000 F1:0.000000
obra_de            	TP:0 FP:1 FN:2	P:0.000000 R:0.000000 F1:0.000000
outrarel           	TP:0 FP:1 FN:6	P:0.000000 R:0.000000 F1:0.000000
participante_em    	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
pratica_se         	TP:0 FP:1 FN:0	P:0.000000 R:0.000000 F1:0.000000
praticado_em       	TP:0 FP:0 FN:11	P:0.000000 R:0.000000 F1:0.000000
praticado_por      	TP:0 FP:1 FN:0	P:0.000000 R:0.000000 F1:0.000000
produtor_de        	TP:0 FP:1 FN:1	P:0.000000 R:0.000000 F1:0.000000
propriedade_de     	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
proprietario_de    	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar   	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
sede_de            	TP:1 FP:3 FN:7	P:0.250000 R:0.125000 F1:0.166667
ter_participacao_de	TP:0 FP:1 FN:5	P:0.000000 R:0.000000 F1:0.000000
vinculo_inst       	TP:0 FP:20 FN:8	P:0.000000 R:0.000000 F1:0.000000
--------------------------------------------------
All                	TP:14 FP:80 FN:134	P:0.148936 R:0.094595 F1:0.115702
--- 255.5454821586609 seconds ---
