autor_de            	TP:2 FP:0 FN:5	P:1.000000 R:0.285714 F1:0.444444
data_de             	TP:1 FP:3 FN:8	P:0.250000 R:0.111111 F1:0.153846
ident               	TP:1 FP:14 FN:54	P:0.066667 R:0.018182 F1:0.028571
inclui              	TP:7 FP:13 FN:16	P:0.350000 R:0.304348 F1:0.325581
incluido            	TP:0 FP:0 FN:33	P:0.000000 R:0.000000 F1:0.000000
localizado_em       	TP:0 FP:1 FN:5	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:0 FP:3 FN:8	P:0.000000 R:0.000000 F1:0.000000
obra_de             	TP:1 FP:0 FN:3	P:1.000000 R:0.250000 F1:0.400000
outrarel            	TP:1 FP:0 FN:8	P:1.000000 R:0.111111 F1:0.200000
participante_em     	TP:0 FP:1 FN:4	P:0.000000 R:0.000000 F1:0.000000
personagem_de       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticado_por       	TP:0 FP:0 FN:4	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
propriedade_de      	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
proprietario_de     	TP:0 FP:1 FN:5	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:0 FP:3 FN:5	P:0.000000 R:0.000000 F1:0.000000
relacao_profissional	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
residencia_de       	TP:0 FP:0 FN:5	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:0 FP:11 FN:10	P:0.000000 R:0.000000 F1:0.000000
ter_participacao_de 	TP:0 FP:3 FN:1	P:0.000000 R:0.000000 F1:0.000000
vinculo_inst        	TP:0 FP:16 FN:17	P:0.000000 R:0.000000 F1:0.000000
--------------------------------------------------
All                 	TP:13 FP:69 FN:206	P:0.158537 R:0.059361 F1:0.086379
--- 383.23825240135193 seconds ---
