autor_de            	TP:6 FP:0 FN:3	P:1.000000 R:0.666667 F1:0.800000
causador_de         	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
data_de             	TP:3 FP:0 FN:4	P:1.000000 R:0.428571 F1:0.600000
datado_de           	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
ident               	TP:5 FP:14 FN:228	P:0.263158 R:0.021459 F1:0.039683
inclui              	TP:11 FP:11 FN:24	P:0.500000 R:0.314286 F1:0.385965
incluido            	TP:2 FP:8 FN:40	P:0.200000 R:0.047619 F1:0.076923
localizado_em       	TP:0 FP:0 FN:8	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:1 FP:0 FN:10	P:1.000000 R:0.090909 F1:0.166667
obra_de             	TP:2 FP:0 FN:7	P:1.000000 R:0.222222 F1:0.363636
outrarel            	TP:1 FP:2 FN:7	P:0.333333 R:0.125000 F1:0.181818
participante_em     	TP:0 FP:0 FN:6	P:0.000000 R:0.000000 F1:0.000000
personagem_de       	TP:0 FP:1 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:0 FN:4	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:1 FN:7	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:1 FP:0 FN:1	P:1.000000 R:0.500000 F1:0.666667
proprietario_de     	TP:1 FP:1 FN:2	P:0.500000 R:0.333333 F1:0.400000
relacao_familiar    	TP:3 FP:1 FN:3	P:0.750000 R:0.500000 F1:0.600000
relacao_profissional	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
residencia_de       	TP:0 FP:0 FN:4	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:6 FP:2 FN:11	P:0.750000 R:0.352941 F1:0.480000
ter_participacao_de 	TP:3 FP:0 FN:5	P:1.000000 R:0.375000 F1:0.545455
vinculo_inst        	TP:4 FP:4 FN:26	P:0.500000 R:0.133333 F1:0.210526
--------------------------------------------------
All                 	TP:49 FP:45 FN:408	P:0.521277 R:0.107221 F1:0.177858
--- 626.3497669696808 seconds ---
