autor_de            	TP:4 FP:0 FN:2	P:1.000000 R:0.666667 F1:0.800000
causador_de         	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
data_de             	TP:1 FP:1 FN:2	P:0.500000 R:0.333333 F1:0.400000
data_nascimento     	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
datado_de           	TP:1 FP:0 FN:0	P:1.000000 R:1.000000 F1:1.000000
ident               	TP:6 FP:4 FN:224	P:0.600000 R:0.026087 F1:0.050000
inclui              	TP:13 FP:16 FN:14	P:0.448276 R:0.481481 F1:0.464286
incluido            	TP:2 FP:7 FN:52	P:0.222222 R:0.037037 F1:0.063492
localizado_em       	TP:1 FP:0 FN:12	P:1.000000 R:0.076923 F1:0.142857
natural_de          	TP:1 FP:1 FN:10	P:0.500000 R:0.090909 F1:0.153846
obra_de             	TP:0 FP:0 FN:8	P:0.000000 R:0.000000 F1:0.000000
outrarel            	TP:1 FP:2 FN:6	P:0.333333 R:0.142857 F1:0.200000
participante_em     	TP:0 FP:0 FN:13	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:1 FN:0	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:1 FN:4	P:0.000000 R:0.000000 F1:0.000000
praticado_por       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:1 FP:0 FN:2	P:1.000000 R:0.333333 F1:0.500000
produtor_de         	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
propriedade_de      	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
proprietario_de     	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:0 FP:1 FN:6	P:0.000000 R:0.000000 F1:0.000000
relacao_profissional	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
residencia_de       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:7 FP:1 FN:16	P:0.875000 R:0.304348 F1:0.451613
ter_participacao_de 	TP:3 FP:0 FN:4	P:1.000000 R:0.428571 F1:0.600000
vinculo_inst        	TP:3 FP:7 FN:21	P:0.300000 R:0.125000 F1:0.176471
--------------------------------------------------
All                 	TP:44 FP:42 FN:413	P:0.511628 R:0.096280 F1:0.162063
--- 655.0006630420685 seconds ---
