autor_de            	TP:1 FP:2 FN:2	P:0.333333 R:0.333333 F1:0.333333
causador_de         	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
data_de             	TP:4 FP:0 FN:3	P:1.000000 R:0.571429 F1:0.727273
data_morte          	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
datado_de           	TP:1 FP:0 FN:1	P:1.000000 R:0.500000 F1:0.666667
ident               	TP:9 FP:12 FN:222	P:0.428571 R:0.038961 F1:0.071429
inclui              	TP:6 FP:9 FN:19	P:0.400000 R:0.240000 F1:0.300000
incluido            	TP:1 FP:1 FN:46	P:0.500000 R:0.021277 F1:0.040816
localizado_em       	TP:0 FP:0 FN:10	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:0 FP:2 FN:12	P:0.000000 R:0.000000 F1:0.000000
obra_de             	TP:0 FP:1 FN:13	P:0.000000 R:0.000000 F1:0.000000
outrarel            	TP:0 FP:1 FN:11	P:0.000000 R:0.000000 F1:0.000000
participante_em     	TP:1 FP:1 FN:9	P:0.500000 R:0.100000 F1:0.166667
personagem_de       	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:0 FP:1 FN:2	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:1 FN:0	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:0 FP:0 FN:5	P:0.000000 R:0.000000 F1:0.000000
propriedade_de      	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
proprietario_de     	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:1 FP:3 FN:8	P:0.250000 R:0.111111 F1:0.153846
relacao_profissional	TP:0 FP:1 FN:3	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:2 FP:3 FN:17	P:0.400000 R:0.105263 F1:0.166667
ter_participacao_de 	TP:2 FP:0 FN:2	P:1.000000 R:0.500000 F1:0.666667
vinculo_inst        	TP:5 FP:2 FN:24	P:0.714286 R:0.172414 F1:0.277778
--------------------------------------------------
All                 	TP:33 FP:40 FN:424	P:0.452055 R:0.072210 F1:0.124528
--- 624.0346519947052 seconds ---
