autor_de            	TP:5 FP:0 FN:0	P:1.000000 R:1.000000 F1:1.000000
causador_de         	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
data_de             	TP:4 FP:0 FN:1	P:1.000000 R:0.800000 F1:0.888889
data_nascimento     	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
datado_de           	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
ident               	TP:6 FP:8 FN:208	P:0.428571 R:0.028037 F1:0.052632
inclui              	TP:11 FP:13 FN:30	P:0.458333 R:0.268293 F1:0.338462
incluido            	TP:4 FP:6 FN:44	P:0.400000 R:0.083333 F1:0.137931
localizado_em       	TP:0 FP:2 FN:11	P:0.000000 R:0.000000 F1:0.000000
natural_de          	TP:1 FP:2 FN:13	P:0.333333 R:0.071429 F1:0.117647
obra_de             	TP:2 FP:1 FN:7	P:0.666667 R:0.222222 F1:0.333333
outrarel            	TP:1 FP:0 FN:7	P:1.000000 R:0.125000 F1:0.222222
participante_em     	TP:1 FP:0 FN:10	P:1.000000 R:0.090909 F1:0.166667
personagem_de       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:2 FP:0 FN:1	P:1.000000 R:0.666667 F1:0.800000
praticado_em        	TP:0 FP:1 FN:4	P:0.000000 R:0.000000 F1:0.000000
praticado_por       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:1 FP:0 FN:4	P:1.000000 R:0.200000 F1:0.333333
produtor_de         	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:1 FP:0 FN:2	P:1.000000 R:0.333333 F1:0.500000
propriedade_de      	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
proprietario_de     	TP:0 FP:1 FN:1	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:0 FP:1 FN:4	P:0.000000 R:0.000000 F1:0.000000
relacao_profissional	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:9 FP:1 FN:12	P:0.900000 R:0.428571 F1:0.580645
ter_participacao_de 	TP:4 FP:1 FN:5	P:0.800000 R:0.444444 F1:0.571429
vinculo_inst        	TP:6 FP:8 FN:21	P:0.428571 R:0.222222 F1:0.292683
--------------------------------------------------
All                 	TP:58 FP:45 FN:399	P:0.563107 R:0.126915 F1:0.207143
--- 648.5353856086731 seconds ---

