autor_de            	TP:4 FP:0 FN:4	P:1.000000 R:0.500000 F1:0.666667
causador_de         	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
data_de             	TP:6 FP:0 FN:4	P:1.000000 R:0.600000 F1:0.750000
data_morte          	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
datado_de           	TP:1 FP:0 FN:0	P:1.000000 R:1.000000 F1:1.000000
ident               	TP:8 FP:5 FN:203	P:0.615385 R:0.037915 F1:0.071429
inclui              	TP:7 FP:11 FN:30	P:0.388889 R:0.189189 F1:0.254545
incluido            	TP:3 FP:3 FN:50	P:0.500000 R:0.056604 F1:0.101695
localizado_em       	TP:1 FP:2 FN:12	P:0.333333 R:0.076923 F1:0.125000
natural_de          	TP:0 FP:0 FN:18	P:0.000000 R:0.000000 F1:0.000000
obra_de             	TP:0 FP:2 FN:4	P:0.000000 R:0.000000 F1:0.000000
outrarel            	TP:3 FP:2 FN:7	P:0.600000 R:0.300000 F1:0.400000
participante_em     	TP:1 FP:0 FN:8	P:1.000000 R:0.111111 F1:0.200000
personagem_de       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
pratica_se          	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
praticado_em        	TP:1 FP:0 FN:3	P:1.000000 R:0.250000 F1:0.400000
praticado_por       	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
praticante_de       	TP:0 FP:1 FN:1	P:0.000000 R:0.000000 F1:0.000000
produtor_de         	TP:0 FP:0 FN:5	P:0.000000 R:0.000000 F1:0.000000
produzido_por       	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
propriedade_de      	TP:0 FP:0 FN:3	P:0.000000 R:0.000000 F1:0.000000
proprietario_de     	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
relacao_familiar    	TP:3 FP:3 FN:8	P:0.500000 R:0.272727 F1:0.352941
relacao_profissional	TP:0 FP:0 FN:1	P:0.000000 R:0.000000 F1:0.000000
residencia_de       	TP:0 FP:0 FN:2	P:0.000000 R:0.000000 F1:0.000000
sede_de             	TP:2 FP:1 FN:19	P:0.666667 R:0.095238 F1:0.166667
ter_participacao_de 	TP:1 FP:2 FN:7	P:0.333333 R:0.125000 F1:0.181818
vinculo_inst        	TP:5 FP:1 FN:9	P:0.833333 R:0.357143 F1:0.500000
--------------------------------------------------
All                 	TP:46 FP:33 FN:411	P:0.582278 R:0.100656 F1:0.171642
--- 714.7450299263 seconds ---
